numerical_review,comments,sentiment,review_length,label
2,"Excellent attention, clean and comfortable room. I highly recommend the stay on this floor.",0.48166666666666663,91,1
5,Very good place! The host is very friendly and very helpfull! Good experience!,0.5791666666666667,82,0
5,"This apartment was in ideal location just a few minutes from Las Ramblas which was a lively fun area. The place was clean and very comfortable with air conditioning and lovely balconies, perfect for people watching. The area seemed safe and Alberto was very helpful in arranging transport from the airport and advising us on places to go and things to do. Overall the apartment was perfect for a first introduction to the wonderful city of Barcelona and we would highly recommend it.",0.4640476190476191,483,0
5,"I was very surprised at the level of customer service Alvaro displayed. He explained everything worth knowing in detail when we arrived at the nocarz, including the prices we should be paying for transport to various places, the directions to different attractions in the city and good places to eat food. He gave us a detailed and thorough tour of our apartment and the rest of the amenities they offer. He was always there for us when we had any questions including assisting us in booking an antigen test before we flew out of Barcelona. The rooms were clean, spacious and well furnished, just like the pictures portray. The rooftop is high and gives you a nice view of the streets surrounding the apartment and beyond. The shower is of a good quality. You receive a hot and consistently strong stream of water. The beds were more than satisfactory; they were clean, comfortable and big (I’m 6ft 1). The balconies had strong sturdy doors and railing which made you feel safe. The only negative I can think of is it was a bit further than ideal if you want to walk into the city centre. Although, if you use the public bikes, it is not a problem at all. I cycled throughout the entire city during my time there. (Download the Donkey Republic app) Overall, a wonderful place to stay and will definitely be using again when I visit Barcelona next summer.",0.2823076923076923,1396,0
4,Exceptional reception! Renting this place will make your vacation even better than you expect. Top in all travelers requirements.,0.611111111111111,129,0
4,"Amazing experience, would highly recommend!",0.4,43,0
5,"Fantastic service from everyone at Stay Together Barcelona! The cruise ship would not let us stay on the ship until check in but Carla kept our bags for us until we could get into the apartment. The apartment was spectacular! Large rooms, a fully outfitted kitchen, a refreshment center in the basement and a spectacular rooftop lounging area. There are restaurants really close by and the staff were so helpful in accommodating our American meal times. (Dinner is after 8pm.) I highly recommend staying here as they make vacationing so easy. Carla was very responsive and absolutely amazing to work with. Stay Together really made our stay in Barcelona the best part of our vacation! Highly recommended.",0.3512585034013606,705,0
1,"Excellent stay in Barcelona! The department is very nice and its unbeatable location. Arian a luxury host, always attentive to any requirement. We will certainly return !!",0.6287053571428571,178,1
5,We loved our stay in Barcelona. The place was very comfortable and clean. I would definitely stay there again. And Arian was a delightful host. I look forward to staying in one of his places when we return.,0.5173333333333334,210,0
5,We loved our trip to Barcelona. Arian was a pleasure to deal with and the apartment was well located and extremely comfortable. Its location was ideal for visiting all areas of the city and was a wonderful place to return to at the end of an intense day of sightseeing. Excellent local restaurants and local shops meant we did not have to travel far when hungry. I would highly recommend the apartment to anyone visiting the city.,0.446,440,0
