id,listing_url,scrape_id,last_scraped,source,name,description,neighborhood_overview,picture_url,host_id,host_url,host_name,host_since,host_location,host_about,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_thumbnail_url,host_picture_url,host_neighbourhood,host_listings_count,host_total_listings_count,host_verifications,host_has_profile_pic,host_identity_verified,neighbourhood,neighbourhood_cleansed,neighbourhood_group_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms,bathrooms_text,bedrooms,beds,amenities,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,calendar_updated,has_availability,availability_30,availability_60,availability_90,availability_365,calendar_last_scraped,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,availability_eoy,number_of_reviews_ly,estimated_occupancy_l365d,estimated_revenue_l365d,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,license,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month
363601,,20250305023237,2025-03-06,previous scrape,,,,https://a0.muscache.com/pictures/38669984/67b5c2cd_original.jpg,1837053,,Ayal,2012-03-01,Spain,,N/A,N/A,N/A,f,https://a0.muscache.com/im/users/1837053/profile_pic/1406650552/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/1837053/profile_pic/1406650552/original.jpg?aki_policy=profile_x_medium,El Raval,2,,"['email', 'phone']",,t,,el Raval,Ciutat Vella,,,Entire rental unit,Entire home/apt,2,,1 bath,2,,"[""TV"", ""Wifi"", ""Washer"", ""Kitchen"", ""Host greets you"", ""Hair dryer"", ""Paid parking off premises"", ""Heating"", ""Air conditioning"", ""Essentials"", ""Hot water""]",,32,,32,32,350,350,32.0,350.0,,,0,0,0,,,25,0,0,0,0,0,,2013-04-09,2018-08-23,4.2,4.26,4.39,4.52,4.67,4.54,,,f,,1,,0,
399772,https://www.nocarz.pl/rooms/399772,,,city scrape,Rocafort nice & bright 3 stops away Pza Cataluña,"Comfortable, nice and central  two bedroom  apartment in an old style, elevator building, in the Eixample Neighborhood.",,https://a0.muscache.com/pictures/miso/Hosting-399772/original/a69d900b-29bb-416a-9c59-7339e01210fa.jpeg,1995385,https://www.nocarz.pl/users/show/1995385,,2012-03-23,"Barcelona, Spain","Me gusta la gente, viajar, un buen libro, escuchar musica, pasear por la playa, la buena mesa con buenos amigos.",within an hour,100%,99%,t,https://a0.muscache.com/im/users/1995385/profile_pic/1336928456/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/1995385/profile_pic/1336928456/original.jpg?aki_policy=profile_x_medium,La Nova Esquerra de l'Eixample,3,7,,,t,,,Eixample,41.38268,2.15044,Entire rental unit,Entire home/apt,3,1.0,,2,2,"[""Blender"", ""Dedicated workspace"", ""Induction stove"", ""Refrigerator"", ""Books and reading material"", ""Drying rack for clothing"", ""Host greets you"", ""Coffee maker: pour-over coffee"", ""Heating"", ""Clothing storage: closet and wardrobe"", ""Hot water"", ""Laundromat nearby"", ""Iron"", ""Bed linens"", ""Portable fans"", ""City skyline view"", ""Private patio or balcony"", ""Oven"", ""Wifi"", ""Dishes and silverware"", ""Paid parking lot off premises"", ""Wine glasses"", ""Hot water kettle"", ""Shared beach access"", ""Freezer"", ""Dining table"", ""Cleaning products"", ""Room-darkening shades"", ""32 inch HDTV"", ""Microwave"", ""Kitchen"", ""Elevator"", ""Hair dryer"", ""Toaster"", ""Hangers"", ""Body soap"", ""Free washer \u2013 In unit"", ""AC - split type ductless system"", ""Extra pillows and blankets"", ""Essentials"", ""Shower gel""]",$178.00,2,,1,5,1125,1125,2.2,1125.0,,t,7,19,31,97,2025-03-06,185,49,3,97,53,,45390,,2025-02-28,4.86,4.92,4.91,4.86,4.92,4.75,4.74,HUTB-001948,f,,3,0,,1.18
402369,https://www.nocarz.pl/rooms/402369,20250305023237,2025-03-11,,Great 2 bedr flat close to Las Ramblas city center,"Please send us a message to confirm availability.<br /><br />If you are a large group you can send us a message and we can check availability.<br /><br />Beautiful charming and comfortable spacious ""ACOMODIS"" 2 bedroom apartment ideally located in central Barcelona, in the Gothic Quarter, a very nice and safe neighbourhood. This is a nice 2 bedroom ""ACOMODIS"" apartment in a perfect location in the city!<br />This place is very close to Las Ramblas.<br />""ACOMODIS"" apartments<br /><br />Groups under 25 years old are not accepted.","HAPPY NEIGHBOURHOOD<br />Located behind Paseo de Colon, this apartment will be your focal point from which you can map out where and what you want to see in Barcelona. The high standard and quality of the ""Acomodis"" apartment, combined with the calm of the area, makes it a fantastic choice for your visit to Barcelona.<br /><br />Situated next to the main Postal Office in Barcelona, the location of this ""Acomodis"" apartment is ideal. Right on the edge of the Gothic Quarter, which really is the true heart of Barcelona, all the places of interest are within easy walking distance such as the Gothic Quarter, Las Ramblas, Port Vell - the port and the beaches and the very trendy ""El Born"", which is full of great cafés, bars and restaurants.<br /><br />The Gothic area is where medieval and modern Barcelona meet. The historical (mainly Gothic) buildings house anything from traditional ""Tapas"" bars to chic boutiques. Some of the great landmarks within walking distance include: the Barcelona Cath",https://a0.muscache.com/pictures/hosting/Hosting-U3RheVN1cHBseUxpc3Rpbmc6NDAyMzY5/original/6fb0e259-a965-4380-bcf6-4c585113da09.jpeg,,https://www.nocarz.pl/users/show/1447144,Acomodis Apartments,2011-11-27,"Barcelona, Spain","Apartamentos ACOMODIS en Barcelona

Somos un pequeña gran familia que ofrece apartamentos turísticos de calidad con atención personal. Siempre disponibles, garantizamos transparencia, experiencias únicas y recomendaciones locales para disfrutar Barcelona.

Nuestros alojamientos combinan comodidad y estilo, enriqueciendo tu experiencia. Nos dedicamos a ofrecer un servicio cercano y profesional para que disfrutes al máximo tu estancia en Barcelona.",within an hour,79%,24%,,https://a0.muscache.com/im/pictures/user/f1ba627d-3c72-4140-8415-f63c7ca17a33.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/f1ba627d-3c72-4140-8415-f63c7ca17a33.jpg?aki_policy=profile_x_medium,El Poble-sec,306,503,,t,,"Barcelona, Catalunya, Spain",el Barri Gòtic,Ciutat Vella,41.38035,2.17821,Entire rental unit,Entire home/apt,5,1.0,1 bath,2,,"[""Pack \u2019n play/Travel crib"", ""Coffee maker"", ""Long term stays allowed"", ""Fire extinguisher"", ""Refrigerator"", ""Room-darkening shades"", ""Hangers"", ""Iron"", ""Private patio or balcony"", ""Crib"", ""Luggage dropoff allowed"", ""TV"", ""Microwave"", ""Kitchen"", ""Private entrance"", ""Cooking basics"", ""Bed linens"", ""Heating"", ""Stove"", ""Oven"", ""Extra pillows and blankets"", ""Air conditioning"", ""Drying rack for clothing"", ""Dining table"", ""Dishes and silverware"", ""Wifi"", ""Wine glasses"", ""Freezer"", ""Clothing storage"", ""Paid parking off premises"", ""Essentials"", ""Dedicated workspace"", ""Hot water"", ""Shared beach access"", ""Washer"", ""Hair dryer"", ""Toaster"", ""Elevator""]",$217.00,2,330,2,3,330,330,2.0,330.0,,,30,60,,355,2025-03-11,11,0,0,286,0,,,2012-04-25,2015-08-17,4.29,4.18,4.45,4.64,,,,,,,,,0,0.07
456333,,20250305023237,2025-03-06,previous scrape,DOUBLE ROOM with WIFI,,,,2268672,https://www.nocarz.pl/users/show/2268672,Bruna,2012-05-01,"Barcelona, Spain","Hola!!! Me llamo Bruna, soy brasileña nacida en Porto Alegre (sur de Brasil) y vivo desde 2010 en Barcelona, la ciudad mas soleada y acogedora de Europa :)",N/A,N/A,N/A,f,https://a0.muscache.com/im/users/2268672/profile_pic/1335914297/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/2268672/profile_pic/1335914297/original.jpg?aki_policy=profile_x_medium,Eixample,2,,"['email', 'phone', 'work_email']",t,t,,el Fort Pienc,,41.39937,,Private room in rental unit,Private room,2,,1.5 baths,,,,,1,30,1,1,,30,1.0,,,,0,0,,0,2025-03-06,,0,0,0,0,,,,2017-11-01,,4.9,4.9,4.93,4.95,4.83,4.88,,f,,0,1,0,0.26
,https://www.nocarz.pl/rooms/480975,20250305023237,2025-03-07,previous scrape,Cozy loft with a big terrace!,"Real cozy loft, at an old factory from the beginning of the century, terrace 30 m2, filtered water, thermomix, international cable tv, located at one of the last real downtown Barcelona barrios, Poble Sec, very well connected, surrounded of the best restaurants in town. One double bed at a private room and one extra bed at the first floor.",,https://a0.muscache.com/pictures/104020703/cd473ca8_original.jpg,,,Javi,2012-05-02,,Ggkhkiyfjhfjgjhcuhcuc,N/A,N/A,,,https://a0.muscache.com/im/users/2272146/profile_pic/1335958100/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/2272146/profile_pic/1335958100/original.jpg?aki_policy=profile_x_medium,El Poble-sec,,1,"['email', 'phone']",t,t,,el Poble Sec,Sants-Montjuïc,41.37227,2.16574,Private room in loft,Private room,3,,1 bath,1,,"[""Dryer"", ""Shampoo"", ""Wifi"", ""Washer"", ""TV with standard cable"", ""First aid kit"", ""Kitchen"", ""Fire extinguisher"", ""Heating"", ""Air conditioning"", ""Essentials""]",,1,,1,1,1125,1125,,1125.0,,,0,,0,0,2025-03-07,0,0,,0,,0,,,,,,,,,,,,f,,0,1,0,
188267,https://www.nocarz.pl/rooms/188267,20250305023237,2025-03-06,city scrape,"LAST Minute Promotion ,Balconies  and views, city","Welcome to Watermelon Barcelona community. The apartment you are about to book has everything you need for a top quality stay. <br />We have more than 10 years providing people around the world the perfect home away from home, so relax and enjoy, you are on the perfect hands now.","Finding a cab is easy here, and there are also three nearby metro stations--Tetuan, Arc de Triomf, and Urquinaona. Nearby sites such as Casa Calvet and the Sagrada Família are easy to find even if walking.",https://a0.muscache.com/pictures/01c6a225-0af8-411c-934c-c5559fe5cab5.jpg,366654,,Watermelon Barcelona Apartments,,"Barcelona, Spain",,,100%,100%,f,,https://a0.muscache.com/im/users/366654/profile_pic/1296302798/original.jpg?aki_policy=profile_x_medium,Dreta de l'Eixample,2,18,"['email', 'phone', 'work_email']",t,f,,la Dreta de l'Eixample,Eixample,41.39258,2.17692,Entire rental unit,Entire home/apt,6,2.0,2 baths,3,4,"[""Dedicated workspace"", ""Coffee maker"", ""Shampoo"", ""Refrigerator"", ""Host greets you"", ""Paid parking off premises"", ""Heating"", ""Long term stays allowed"", ""Hot water"", ""TV with standard cable"", ""Iron"", ""Oven"", ""Dryer"", ""Dishwasher"", ""Wifi"", ""Luggage dropoff allowed"", ""Dishes and silverware"", ""Smoke alarm"", ""First aid kit"", ""Stove"", ""Cooking basics"", ""Crib"", ""Washer"", ""Shared patio or balcony"", ""Microwave"", ""Kitchen"", ""Hair dryer"", ""Hangers"", ""Air conditioning"", ""Essentials"", ""High chair""]",$309.00,2,,2,2,730,730,2.0,730.0,,,,,56,329,2025-03-06,,11,0,265,14,66,20394,,2024-11-17,4.66,4.58,4.83,4.84,,4.81,4.49,hutb-005119,,2,2,0,,
196021,https://www.nocarz.pl/rooms/196021,20250305023237,2025-03-08,previous scrape,,,,https://a0.muscache.com/pictures/hosting/Hosting-U3RheVN1cHBseUxpc3Rpbmc6MTk2MDIx/original/1388c2ff-321b-4191-a8f5-76e3781e8a48.jpeg,953719,https://www.nocarz.pl/users/show/953719,Julia,2011-08-10,,"",within an hour,100%,,f,https://a0.muscache.com/im/pictures/user/User/original/25bf7098-2f21-4e92-a1d6-22851513a9dd.jpeg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/User/original/25bf7098-2f21-4e92-a1d6-22851513a9dd.jpeg?aki_policy=profile_x_medium,La Nova Esquerra de l'Eixample,3,11,,t,,"Barcelona, Catalonia, Spain",,Eixample,41.38842,2.16108,Entire rental unit,,8,,4 baths,4,,"[""Blender"", ""Dedicated workspace"", ""Shampoo"", ""Conditioner"", ""Rice maker"", ""Carbon monoxide alarm"", ""Refrigerator"", ""Bathtub"", ""Drying rack for clothing"", ""Host greets you"", ""Smoking allowed"", ""Paid parking off premises"", ""Free dryer \u2013 In unit"", ""42 inch HDTV with Netflix, Amazon Prime Video, standard cable"", ""Heating"", ""Children\u2019s dinnerware"", ""Outlet covers"", ""Hot water"", ""Children\u2019s books and toys"", ""Pack \u2019n play/Travel crib"", ""Coffee maker: Nespresso, pour-over coffee"", ""Laundromat nearby"", ""Outdoor furniture"", ""Iron"", ""Bed linens"", ""Private patio or balcony"", ""Oven"", ""Dishwasher"", ""Wifi"", ""Luggage dropoff allowed"", ""Dishes and silverware"", ""Smoke alarm"", ""Wine glasses"", ""Board games"", ""Beach essentials"", ""Clothing storage: closet"", ""Fire extinguisher"", ""Stove"", ""Courtyard view"", ""Hot water kettle"", ""Cooking basics"", ""Crib"", ""Coffee"", ""Freezer"", ""Dining table"", ""Cleaning products"", ""Room-darkening shades"", ""Private backyard \u2013 Fully fenced"", ""Microwave"", ""Central air conditioning"", ""Kitchen"", ""Elevator"", ""Hair dryer"", ""Toaster"", ""Hangers"", ""Body soap"", ""Free washer \u2013 In unit"", ""Outdoor dining area"", ""Extra pillows and blankets"", ""Essentials"", ""High chair"", ""Shower gel""]",,2,60,1,8,60,60,4.4,60.0,,t,1,,16,245,2025-03-08,458,57,4,181,58,,,2011-09-28,,4.95,4.93,4.92,4.99,4.96,4.93,4.9,HUTB-005067,f,2,2,0,0,2.8
490517,https://www.nocarz.pl/rooms/490517,20250305023237,2025-03-06,city scrape,,,"The Sagrada Familia neighborhood in Barcelona's Eixample combines culture, tranquility and comfort. A few steps from the emblematic Sagrada Familia temple, there are also nearby points of interest such as the Hospital de Sant Pau, a modernist jewel, and the Passeig de Sant Joan, ideal for strolling and enjoying outdoor terraces.<br /><br />The neighborhood offers excellent public transport connection, with quick access to the city's top attractions. In addition, it has a wide range of restaurants, cafes and shops, along with essential services such as supermarkets and pharmacies. Its tree-lined streets and residential atmosphere make it a perfect place to enjoy an authentic and cultural stay in Barcelona.a.",,2320210,https://www.nocarz.pl/users/show/2320210,"Ale, Maria & Arthur",,"Barcelona, Spain","De todos los lugares que he visitado Barcelona es la ciudad que más me ha enamorado y ... aquí estoy! :)

",within an hour,100%,99%,f,https://a0.muscache.com/im/pictures/user/e49c2e27-414e-4af7-9e7d-5a82c2672724.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/e49c2e27-414e-4af7-9e7d-5a82c2672724.jpg?aki_policy=profile_x_medium,,54,112,"['email', 'phone', 'work_email']",t,t,"Barcelona, Catalonia, Spain",,Gràcia,41.40385,2.1691,Entire rental unit,Entire home/apt,5,1.0,1 bath,,3,"[""Coffee maker"", ""Shampoo"", ""Refrigerator"", ""Heating"", ""Long term stays allowed"", ""Paid clamp on table seat high chair - available upon request"", ""Hot water"", ""Fast wifi \u2013 52 Mbps"", ""Laundromat nearby"", ""Pets allowed"", ""Smart lock"", ""Outdoor furniture"", ""Iron"", ""Self check-in"", ""Private patio or balcony"", ""TV"", ""Dishes and silverware"", ""Backyard"", ""Cooking basics"", ""Paid pack \u2019n play/travel crib - available upon request"", ""Washer"", ""Kitchen"", ""Elevator"", ""Hair dryer"", ""Hangers"", ""Air conditioning"", ""Essentials""]",$128.00,,1125,3,7,,1125,,1125.0,,,11,28,49,248,2025-03-06,99,21,0,248,25,126,,2016-06-23,2024-11-17,4.25,,4.28,4.51,4.72,4.74,4.06,HUTB-003522,t,53,,0,,0.93
,https://www.nocarz.pl/rooms/234375,20250305023237,2025-03-06,city scrape,ATTIC VIEWS  (Sagrada Familia),,Elegant quarter,,,https://www.nocarz.pl/users/show/1227290,Francesca,,"Barcelona, Spain","",within an hour,100%,100%,t,https://a0.muscache.com/im/pictures/user/User-1227290/original/967c9dea-f966-4377-b98b-a111512c7cb0.jpeg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/User-1227290/original/967c9dea-f966-4377-b98b-a111512c7cb0.jpeg?aki_policy=profile_x_medium,el Fort Pienc,1,1,"['email', 'phone']",,t,"Barcelona, Catalonia, Spain",el Fort Pienc,,,2.1748878955841064,Entire rental unit,Entire home/apt,3,1.0,1 bath,1,2,"[""Dedicated workspace"", ""Books and reading material"", ""Drying rack for clothing"", ""Host greets you"", ""Stainless steel oven"", ""Paid parking off premises"", ""Coffee maker: drip coffee maker, espresso machine, Nespresso"", ""Long term stays allowed"", ""32 inch HDTV with DVD player"", ""Hot water"", ""Cleaning available during stay"", ""Pack \u2019n play/Travel crib - always at the listing"", ""Laundromat nearby"", ""Heating - split type ductless system"", ""Sea view"", ""Iron"", ""Bed linens"", ""Outdoor furniture"", ""City skyline view"", ""Private patio or balcony"", ""Single level home"", ""Wifi"", ""Dishes and silverware"", ""First aid kit"", ""Clothing storage: closet"", ""Indesit refrigerator"", ""Crib - always at the listing"", ""Clamp on table seat high chair - always at the listing"", ""Hot water kettle"", ""Cooking basics"", ""Freezer"", ""Dining table"", ""Cleaning products"", ""Room-darkening shades"", ""Sun loungers"", ""Teka stainless steel gas stove"", ""Microwave"", ""Kitchen"", ""Bidet"", ""Hair dryer"", ""Toaster"", ""Elevator"", ""Hangers"", ""Ethernet connection"", ""Free washer \u2013 In unit"", ""AC - split type ductless system"", ""Extra pillows and blankets"", ""Essentials"", ""Outdoor dining area""]",,6,80,3,10,1125,1125,6.8,,,t,12,23,52,,2025-03-06,122,29,1,,28,,49215,2017-06-13,,,4.84,,,4.88,4.84,4.45,HUTB-003754,f,1,1,0,,1.3
256677,https://www.nocarz.pl/rooms/256677,20250305023237,2025-03-07,,Barcelona Center.Only for 2 guests.We are 2 pers,,"Barceloneta beach and the Port, the Rambla, the Boqueria Market, beautifull gothic churches, plazas, museums, and tapas bars). The metro stop (Liceu) and (Drassanes) is really close too my home.",,1350468,https://www.nocarz.pl/users/show/1350468,Petrutz,,,Hola! Estoy encantado de saludos a todos y lo estaré aun más de poder proporcionaros un hospedaje cómodo y placentero!,within an hour,,100%,f,https://a0.muscache.com/im/users/1350468/profile_pic/1338445672/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/1350468/profile_pic/1338445672/original.jpg?aki_policy=profile_x_medium,El Gòtic,1,1,"['email', 'phone']",,t,"Barcelona, Catalonia, Spain",el Barri Gòtic,,41.3801,,Private room in rental unit,Private room,2,1.0,1 shared bath,1,1,"[""Building staff"", ""Coffee maker"", ""Shampoo"", ""Conditioner"", ""Refrigerator"", ""Bathtub"", ""Smoking allowed"", ""Heating"", ""Hot water"", ""BBQ grill"", ""Iron"", ""Bed linens"", ""Self check-in"", ""Paid parking on premises"", ""TV"", ""Wifi"", ""Luggage dropoff allowed"", ""Dishes and silverware"", ""Wine glasses"", ""Beach essentials"", ""Clothing storage"", ""Shared beach access"", ""Cleaning products"", ""Room-darkening shades"", ""Microwave"", ""Hair dryer"", ""Toaster"", ""Hangers"", ""Body soap"", ""AC - split type ductless system"", ""Extra pillows and blankets"", ""Essentials"", ""Shower gel""]",$71.00,,1125,2,3,1125,1125,,1125.0,,t,2,2,,,2025-03-07,268,46,3,0,45,255,18105,2012-05-24,2025-02-24,4.55,4.76,4.83,4.82,4.71,4.79,4.63,,f,,0,,0,
