listing_id,id,date,reviewer_id,comments,numerical_review
456333,3101885,2012-12-17,3854237,"Excelente atención, limpia y cómoda habitación. Recomiendo ampliamente la estadía en este piso.  ",2
490517,683851145362096337,2022-08-01,328362123,Very good place! The host is very friendly and very helpfull!<br/>Good experience!,5
534550,87124297,2016-07-18,12613393,"This apartment was in ideal location just a few minutes from Las Ramblas which was a lively fun area. The place was clean and very comfortable with air conditioning and lovely balconies, perfect for people watching. The area seemed safe and Alberto was very helpful in arranging transport from the airport and advising us on places to go and things to do. Overall the apartment was perfect for a first introduction to the wonderful city of Barcelona and we would highly recommend it. ",5
534550,466483244276311483,2021-10-05,420785919,"I was very surprised at the level of customer service Alvaro displayed. He explained everything worth knowing in detail when we arrived at the nocarz, including the prices we should be paying for transport to various places, the directions to different attractions in the city and good places to eat food. <br/>He gave us a detailed and thorough tour of our apartment and the rest of the amenities they offer.<br/>He was always there for us when we had any questions including assisting us in booking an antigen test before we flew out of Barcelona. <br/>The rooms were clean, spacious and well furnished, just like the pictures portray.<br/>The rooftop is high and gives you a nice view of the streets surrounding the apartment and beyond.<br/>The shower is of a good quality. You receive a hot and consistently strong stream of water.<br/>The beds were more than satisfactory; they were clean, comfortable and big (I’m 6ft 1).<br/>The balconies had strong sturdy doors and railing which made you feel safe.<br/>The only negative I can think of is it was a bit further than ideal if you want to walk into the city centre. Although, if you use the public bikes, it is not a problem at all. I cycled throughout the entire city during my time there.<br/>(Download the Donkey Republic app)<br/>Overall, a wonderful place to stay and will definitely be using again when I visit Barcelona next summer.",5
534550,635337027310848865,2022-05-26,8179050,Exceptional reception! Renting this place will make your vacation even better than you expect. Top in all travelers requirements.,4
534550,829567946076388683,2023-02-18,333786103,"Amazing experience, would highly recommend!",4
534550,1024491004995120682,2023-11-14,527622166,"Fantastic service from everyone at Stay Together Barcelona! The cruise ship would not let us stay on the ship until check in but Carla kept our bags for us until we could get into the apartment. The apartment was spectacular! Large rooms, a fully outfitted kitchen, a refreshment center in the basement and a spectacular rooftop lounging area. There are restaurants really close by and the staff were so helpful in accommodating our American meal times. (Dinner is after 8pm.) I highly recommend staying here as they make vacationing so easy. Carla was very responsive and absolutely amazing to work with. Stay Together really made our stay in Barcelona the best part of our vacation!  Highly recommended.",5
188267,19953293,2014-09-21,20449387,"Excelente estadia en Barcelona! El departamento es muy lindo y su ubicacion inmejorable.<br/>Arian un anfitrion de lujo, siempre atento a cualquier requerimiento.  Sin duda volveremos!!",1
188267,37438911,2015-07-07,2879634,We loved our stay in Barcelona.  The place was very comfortable and clean.  I would definitely stay there again.  And Arian was a delightful host.  I look forward to staying in one of his places when we return.  ,5
188267,68113217,2016-04-02,12695591,"We loved our trip to Barcelona. Arian was a pleasure to deal with and the apartment was well located and extremely comfortable.<br/>Its location was ideal for visiting all areas of the city and was a wonderful place to return to at the end of an intense day of sightseeing. Excellent local restaurants and local shops meant we did not have to travel far when hungry.<br/>I would highly recommend the apartment to anyone visiting the city.",5
188267,695431638641267995,2022-08-17,90614821,"We really enjoyed our time at Watermelon Barcelona.  The location was great, near lots of restaurants and the metro, with supermarket across the street.  An eclectic apartment with a funky old elevator and super comfortable beds. We loved having coffee on the balcony in the morning.  Air conditioning and washer/dryer were great.  Third bedroom a bit small, but still cozy and comfortable.  Definitely recommend!",5
196021,1181030144624039700,2024-06-17,71164140,"We had a fantastic stay at Julia's apartment, it is perfectly located with lots of bars and restaurants nearby while being surprisingly quiet. The beautiful  apartment was more than well equipped (beach towels, ear plugs, travel power adapters etc) and Julia was a great host, always available for us!",5
234375,1203481568964432935,2024-07-18,362000817,"Great location, peaceful with amazing local restaurants nearby. A quick walk to various different neighborhoods in Barcelona and many landmarks. Friendly host and neighbors!",5
